,ZIP_CODE,CITY,LONGITUDE,LATITUDE
550,98843,Orondo,-120.09326,47.745842
551,98245,Eastsound,-122.91972,48.672312
552,98536,Copalis Crossing,-124.14241,47.179475
553,98257,La Conner,-122.50476,48.393063
554,98391,Bonney Lake,-122.1702757,47.174049
555,99153,Metaline Falls,-117.29833,48.858518
556,98083,Kirkland,-121.803388,47.432251
557,98624,Ilwaco,-124.02968,46.312541
558,98862,Winthrop,-120.24261,48.488543
559,98121,Seattle,-122.34578,47.61487
560,98953,Zillah,-120.26699,46.418933
561,99164,Pullman,-117.644337,46.838747
562,98568,Oakville,-123.25649,46.84066
563,98075,Sammamish,-122.033685,47.584879
564,98255,Hamilton,-121.9887,48.525461
565,98387,Spanaway,-122.40517,47.077796
566,98832,Marlin,-119.03268,47.290624
567,98937,Naches,-120.97097,46.71207
568,99029,Reardan,-117.86164,47.693129
569,98668,Vancouver,-122.520347,45.801586
570,99020,Marshall,-117.4959,47.563191
571,98024,Fall City,-121.88638,47.565642
572,98512,Olympia,-122.99802,46.969793
573,99066,Deer Park,-117.472694,47.951939
574,98262,Lummi Island,-122.66658,48.699642
575,98067,Bellevue,-122.140193,47.617634
576,98250,Friday Harbor,-123.07563,48.55113
577,98613,Centerville,-120.96163,45.722786
578,99118,Curlew,-118.64475,48.890892
579,98124,Seattle,-121.803388,47.432251
580,99039,Waverly,-117.244981,47.329704
581,98132,Seattle,-121.803388,47.432251
582,98040,Mercer Island,-122.23233,47.569271
583,98416,Tacoma,-122.482076,47.264577
584,99350,Prosser,-119.74507,46.208571
585,98685,Vancouver,-122.68473,45.709555
586,98231,Blaine,-121.988548,48.814753
587,98940,Ronald,-121.02979,47.33394
588,98235,Clearlake,-122.23308,48.461672
589,98230,Blaine,-122.73714,48.961443
590,98845,Palisades,-119.82091,47.466573
591,99299,Spokane,-117.431742,47.653568
592,98251,Gold Bar,-121.66644,47.851713
593,98296,Snohomish,-122.11068,47.846083
594,98402,Tacoma,-122.43971,47.247671
595,98666,Vancouver,-122.520347,45.801586
596,98421,Tacoma,-122.41213,47.250681
597,98281,Point Roberts,-123.05047,48.99201
598,98920,Brownstown,-120.694658,46.56451
599,98616,Cougar,-122.29411,46.06517
600,98671,Washougal,-122.28112,45.594465
601,98204,Everett,-122.25064,47.90296
602,99030,Rockford,-117.11319,47.463725
603,98670,Wahkiacus,-121.14615,45.859065
604,99361,Waitsburg,-118.15884,46.209202
605,98496,Lakewood,-122.5091202,47.1666957
606,98947,Tieton,-120.75713,46.707735
607,99021,Mead,-117.22306,47.81108
608,99179,Uniontown,-117.08202,46.516794
609,98113,Shoreline,-122.35384,47.763669
610,98831,Manson,-120.12934,47.915227
611,98605,Bingen,-121.47838,45.719294
612,99211,Spokane,-117.431742,47.653568
613,98527,Bay Center,-123.95463,46.630051
614,98411,Tacoma,-122.113223,47.066193
615,98165,Seattle,-122.33,47.61
616,98921,Buena,-120.315141,46.421218
617,98082,Bothell,-121.803388,47.432251
618,99228,Spokane,-117.431742,47.653568
619,98422,Tacoma,-122.39835,47.296007
620,99116,Coulee Dam,-118.95862,47.995847
621,99140,Keller,-118.69498,48.080515
622,98665,Vancouver,-122.66712,45.681271
623,98093,Federal Way,-122.113791,47.311041
624,98438,Tacoma,-122.567631,47.151297
625,99166,Republic,-118.72647,48.657684
626,98941,Roslyn,-120.99286,47.224876
627,98904,Yakima,-120.694658,46.56451
628,98563,Montesano,-123.60332,47.034615
629,98256,Index,-121.50689,47.84138
630,98101,Seattle,-122.33438,47.61067
631,98030,Kent,-122.192276,47.369098
632,98465,Tacoma,-122.52818,47.247735
633,98188,Seattle,-122.27472,47.450321
634,98538,Curtis,-123.1016,46.483547
635,98160,Seattle,-121.803388,47.432251
636,98140,Seattle,-121.803388,47.432251
637,98619,Glenwood,-121.28904,46.018228
638,98019,Duvall,-121.96222,47.7353
639,98333,Fox Island,-122.6199,47.244053
640,99146,Laurier,-118.2897,48.92816
641,98644,Seaview,-124.05517,46.332077
642,98544,Galvin,-123.02536,46.734909
643,98934,Kittitas,-120.41782,46.984565
