,zip,city,x,y
697,98042,Kent,-18,3
698,98151,Seattle,2,3
699,99357,Royal City,44,6
700,99018,Latah,88,-12
701,98641,Oysterville,-104,-48
702,98439,Lakewood,-52,-30
703,99101,Addy,72,42
704,98413,Tacoma,-32,6
705,98330,Elbe,-26,-21
706,98174,Seattle,-50,21
707,98466,Tacoma,-52,-18
708,98029,Issaquah,-18,15
709,99013,Ford,76,18
710,99027,Otis Orchards,114,9
711,98073,Redmond,12,12
712,98661,Vancouver,-18,-69
713,98282,Camano,-46,69
714,98327,Dupont,-58,-27
715,98395,Wauna,-56,6
716,98596,Winlock,-70,-39
717,98672,White Salmon,-12,-30
718,98565,Napavine,-72,-36
719,98168,Seattle,-28,18
720,98240,Custer,-50,93
721,98055,Renton,-22,9
722,98068,Snoqualmie Pass,16,12
723,98247,Everson,-30,87
724,98848,Quincy,40,6
725,98601,Amboy,-30,-45
726,98051,Ravensdale,-14,-3
727,99324,College Place,52,-24
728,98304,Ashford,-24,-24
729,98643,Rosburg,-78,-51
730,98559,Malone,-68,0
731,98991,Roslyn,24,6
732,98588,Tahuya,-60,12
733,99363,Wallula,48,-18
734,98557,Mccleary,-66,3
735,98368,Port Townsend,-12,24
736,99137,Hunters,68,36
737,98501,Olympia,-72,-18
738,98948,Toppenish,20,-6
739,98946,Thorp,30,3
740,98556,Littlerock,-76,-30
741,98827,Loomis,42,27
742,98801,Wenatchee,32,6
743,99336,Kennewick,42,-15
744,98026,Edmonds,-48,48
745,99216,Spokane,108,6
746,98673,Wishram,-12,-48
747,98492,Lakewood,-14,-27
748,98233,Burlington,-38,75
749,99258,Spokane,98,9
750,98141,Seattle,-44,30
751,98570,Onalaska,-32,-24
752,99210,Spokane,98,-3
753,98922,Cle Elum,28,6
754,99536,Kennewick,44,-12
